# schizophrenia 用の候補リスト（5000 遺伝子）
# Open Targets (MONDO_0005090) の関連遺伝子 500 件と、
# 承認薬の標的 39 件を必ず含む（重複を除いて 504 件）。
# 残り 4496 件は HGNC approved/protein-coding から seed=0 で無作為に補充。
# 記号はすべて実在し、既知の正解が確実に含まれる。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名（無い遺伝子は空欄）
A2ML1	alpha-2-macroglobulin like 1	Alpha-2-macroglobulin-like protein 1
GSR	glutathione-disulfide reductase	Glutathione reductase, mitochondrial
GSS	glutathione synthetase	Glutathione synthetase
GSTA5	glutathione S-transferase alpha 5	Glutathione S-transferase A5
GSTT2B	glutathione S-transferase theta 2B	Glutathione S-transferase theta-2B
GSTZ1	glutathione S-transferase zeta 1	Maleylacetoacetate isomerase
GSX1	GS homeobox 1	GS homeobox 1
GSX2	GS homeobox 2	GS homeobox 2
GTF2A1L	general transcription factor IIA subunit 1 like	TFIIA-alpha and beta-like factor
GTF2A2	general transcription factor IIA subunit 2	Transcription initiation factor IIA subunit 2
GTF2F2	general transcription factor IIF subunit 2	General transcription factor IIF subunit 2
GTF2H2C	GTF2H2 family member C	
GTF2H5	general transcription factor IIH subunit 5	General transcription factor IIH subunit 5
GTF2I	general transcription factor IIi	General transcription factor II-I
GTF3C3	general transcription factor IIIC subunit 3	General transcription factor 3C polypeptide 3
GTF3C5	general transcription factor IIIC subunit 5	General transcription factor 3C polypeptide 5
GTF3C6	general transcription factor IIIC subunit 6	General transcription factor 3C polypeptide 6
GTPBP2	GTP binding protein 2	GTP-binding protein 2
GTPBP3	GTP binding protein 3, mitochondrial	5-taurinomethyluridine-[tRNA] synthase subunit GTPB3, mitochondrial
GTPBP4	GTP binding protein 4	GTP-binding protein 4
GUCA1B	guanylate cyclase activator 1B	Guanylyl cyclase-activating protein 2
GUCY1A1	guanylate cyclase 1 soluble subunit alpha 1	Guanylate cyclase soluble subunit alpha-1
GUCY2D	guanylate cyclase 2D, retinal	Retinal guanylyl cyclase 1
GUF1	GTP binding elongation factor GUF1	Translation factor GUF1, mitochondrial
GUK1	guanylate kinase 1	Guanylate kinase
GUSB	glucuronidase beta	Beta-glucuronidase
GXYLT1	glucoside xylosyltransferase 1	Glucoside xylosyltransferase 1
GYG1	glycogenin 1	Glycogenin-1
GYS1	glycogen synthase 1	Glycogen [starch] synthase, muscle
GZMB	granzyme B	Granzyme B
GZMH	granzyme H	Granzyme H
GZMM	granzyme M	Granzyme M
H1-0	H1.0 linker histone	Histone H1.0
H1-1	H1.1 linker histone, cluster member	Histone H1.1
H1-8	H1.8 linker histone	Histone H1.8
H2AB1	H2A.B variant histone 1	Histone H2A-Bbd type 1
H2AC1	H2A clustered histone 1	Histone H2A type 1-A
H2AC11	H2A clustered histone 11	
H2AC19	H2A clustered histone 19	
H2BC26	H2B clustered histone 26	Histone H2B type 3-B
H2BC3	H2B clustered histone 3	Histone H2B type 1-B
H2BC6	H2B clustered histone 6	
H2BW1	H2B.W histone 1	Histone H2B type W-T
H3-4	H3.4 histone, cluster member	Histone H3.1t
H3C2	H3 clustered histone 2	
H3C3	H3 clustered histone 3	
H3Y1	H3.Y histone 1	Histone H3.Y
H4C11	H4 clustered histone 11	
H4C13	H4 clustered histone 13	
H4C16	H4 histone 16	
H4C2	H4 clustered histone 2	
HABP2	hyaluronan binding protein 2	Factor VII-activating protease
HADH	hydroxyacyl-CoA dehydrogenase	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial
HAL	histidine ammonia-lyase	Histidine ammonia-lyase
HAND1	heart and neural crest derivatives expressed 1	Heart- and neural crest derivatives-expressed protein 1
HAO1	hydroxyacid oxidase 1	2-Hydroxyacid oxidase 1
HAUS3	HAUS augmin like complex subunit 3	HAUS augmin-like complex subunit 3
HBB	hemoglobin subunit beta	Hemoglobin subunit beta
HBQ1	hemoglobin subunit theta 1	Hemoglobin subunit theta-1
HBS1L	HBS1 like translational GTPase	HBS1-like protein
HCAR1	hydroxycarboxylic acid receptor 1	Hydroxycarboxylic acid receptor 1
HCAR2	hydroxycarboxylic acid receptor 2	Hydroxycarboxylic acid receptor 2
HCAR3	hydroxycarboxylic acid receptor 3	Hydroxycarboxylic acid receptor 3
HCFC1	host cell factor C1	Host cell factor 1
HCK	HCK proto-oncogene, Src family tyrosine kinase	Tyrosine-protein kinase HCK
HCN1	hyperpolarization activated cyclic nucleotide gated potassium channel 1	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1
HCRT	hypocretin neuropeptide precursor	Hypocretin neuropeptide precursor
HDAC1	histone deacetylase 1	Histone deacetylase 1
HDAC2	histone deacetylase 2	Histone deacetylase 2
HDAC4	histone deacetylase 4	Histone deacetylase 4
HDAC5	histone deacetylase 5	Histone deacetylase 5
HDAC7	histone deacetylase 7	Histone deacetylase 7
HDAC8	histone deacetylase 8	Histone deacetylase 8
HDC	histidine decarboxylase	Histidine decarboxylase
HDDC2	HD domain containing 2	5'-deoxynucleotidase HDDC2
HDDC3	HD domain containing 3	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1
HDX	highly divergent homeobox	Highly divergent homeobox
HEATR6	HEAT repeat containing 6	HEAT repeat-containing protein 6
HECTD4	HECT domain E3 ubiquitin protein ligase 4	Probable E3 ubiquitin-protein ligase HECTD4
HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	E3 ubiquitin-protein ligase HECW1
HEMK2	HemK methyltransferase 2, ETF1 glutamine and histone H4 lysine	Methyltransferase HEMK2
HEPHL1	hephaestin like 1	Ferroxidase HEPHL1
HERPUD2	HERPUD family member 2	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 prot
HES3	hes family bHLH transcription factor 3	Transcription factor HES-3
HES4	hes family bHLH transcription factor 4	Transcription factor HES-4
HES5	hes family bHLH transcription factor 5	Transcription factor HES-5
HHAT	hedgehog acyltransferase	Protein-cysteine N-palmitoyltransferase HHAT
HIBADH	3-hydroxyisobutyrate dehydrogenase	3-hydroxyisobutyrate dehydrogenase, mitochondrial
HIC2	HIC ZBTB transcriptional repressor 2	Hypermethylated in cancer 2 protein
HIF1A	hypoxia inducible factor 1 subunit alpha	Hypoxia-inducible factor 1-alpha
HIF1AN	hypoxia inducible factor 1 subunit alpha inhibitor	Hypoxia-inducible factor 1-alpha inhibitor
HIF3A	hypoxia inducible factor 3 subunit alpha	Hypoxia-inducible factor 3-alpha
HIGD1B	HIG1 hypoxia inducible domain family member 1B	HIG1 domain family member 1B
HIGD1C	HIG1 hypoxia inducible domain family member 1C	HIG1 domain family member 1C
HINFP	histone H4 transcription factor	Histone H4 transcription factor
HIP1	huntingtin interacting protein 1	Huntingtin-interacting protein 1
HLA-C	major histocompatibility complex, class I, C	HLA class I histocompatibility antigen, C alpha chain
HLA-DOA	major histocompatibility complex, class II, DO alpha	HLA class II histocompatibility antigen, DO alpha chain
HLA-DRB4	major histocompatibility complex, class II, DR beta 4	HLA class II histocompatibility antigen, DR beta 4 chain
HLA-DRB5	major histocompatibility complex, class II, DR beta 5	HLA class II histocompatibility antigen, DR beta 5 chain
HLTF	helicase like transcription factor	DNA-dependent ATPase/E3 ubiquitin-protein ligase HLTF
HMCN1	hemicentin 1	Hemicentin-1
HMG20A	high mobility group 20A	High mobility group protein 20A
HMGA2	high mobility group AT-hook 2	High mobility group protein HMGI-C
HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase	Hydroxymethylglutaryl-CoA lyase, mitochondrial
HMGCLL1	3-hydroxy-3-methylglutaryl-CoA lyase like 1	3-hydroxy-3-methylglutaryl-CoA lyase, cytoplasmic
HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase	3-hydroxy-3-methylglutaryl-coenzyme A reductase
HMGN3	high mobility group nucleosomal binding domain 3	High mobility group nucleosome-binding domain-containing protein 3
HMHB1	histocompatibility minor HB-1	Minor histocompatibility protein HB-1 [Cleaved into: Minor histocompatibility antigen HB-1
HMSD	histocompatibility minor serpin domain containing	Serpin-like protein HMSD
HNF1B	HNF1 homeobox B	Hepatocyte nuclear factor 1-beta
HOGA1	4-hydroxy-2-oxoglutarate aldolase 1	4-hydroxy-2-oxoglutarate aldolase, mitochondrial
HOMER1	homer scaffold protein 1	Homer protein homolog 1
HOMER2	homer scaffold protein 2	Homer protein homolog 2
HOOK2	hook microtubule tethering protein 2	Protein Hook homolog 2
HOXA5	homeobox A5	Homeobox protein Hox-A5
HOXB3	homeobox B3	Homeobox protein Hox-B3
HOXB5	homeobox B5	Homeobox protein Hox-B5
HOXB8	homeobox B8	Homeobox protein Hox-B8
HOXC12	homeobox C12	Homeobox protein Hox-C12
HOXC13	homeobox C13	Homeobox protein Hox-C13
HOXD1	homeobox D1	Homeobox protein Hox-D1
HOXD12	homeobox D12	Homeobox protein Hox-D12
HOXD8	homeobox D8	Homeobox protein Hox-D8
HP1BP3	heterochromatin protein 1 binding protein 3	Heterochromatin protein 1-binding protein 3
HPCAL4	hippocalcin like 4	Hippocalcin-like protein 4
HPGD	15-hydroxyprostaglandin dehydrogenase	15-hydroxyprostaglandin dehydrogenase [NAD(+)]
HPGDS	hematopoietic prostaglandin D synthase	Hematopoietic prostaglandin D synthase
HPR	haptoglobin-related protein	Haptoglobin-related protein
HPS5	HPS5 biogenesis of lysosomal organelles complex 2 subunit 2	BLOC-2 complex member HPS5
HPS6	HPS6 biogenesis of lysosomal organelles complex 2 subunit 3	BLOC-2 complex member HPS6
HPSE2	heparanase 2 (inactive)	Inactive heparanase-2
HPX	hemopexin	Hemopexin
HR	HR lysine demethylase and nuclear receptor corepressor	Lysine-specific demethylase hairless
HRAS	HRas proto-oncogene, GTPase	GTPase HRas
HRH1	histamine receptor H1	Histamine H1 receptor
HRH3	histamine receptor H3	Histamine H3 receptor
HROB	homologous recombination factor with OB-fold	Homologous recombination OB-fold protein
HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1	Heparan sulfate glucosamine 3-O-sulfotransferase 1
HS3ST2	heparan sulfate-glucosamine 3-sulfotransferase 2	Heparan sulfate glucosamine 3-O-sulfotransferase 2
HS3ST4	heparan sulfate-glucosamine 3-sulfotransferase 4	Heparan sulfate glucosamine 3-O-sulfotransferase 4
HS3ST5	heparan sulfate-glucosamine 3-sulfotransferase 5	Heparan sulfate glucosamine 3-O-sulfotransferase 5
HS6ST1	heparan sulfate 6-O-sulfotransferase 1	Heparan-sulfate 6-O-sulfotransferase 1
HS6ST2	heparan sulfate 6-O-sulfotransferase 2	Heparan-sulfate 6-O-sulfotransferase 2
HSCB	HscB mitochondrial iron-sulfur cluster cochaperone	Iron-sulfur cluster co-chaperone protein HscB
HSD11B1L	hydroxysteroid 11-beta dehydrogenase 1 like	Hydroxysteroid 11-beta-dehydrogenase 1-like protein
HSD11B2	hydroxysteroid 11-beta dehydrogenase 2	11-beta-hydroxysteroid dehydrogenase type 2
HSD17B12	hydroxysteroid 17-beta dehydrogenase 12	Very-long-chain 3-oxoacyl-CoA reductase
HSD17B14	hydroxysteroid 17-beta dehydrogenase 14	L-fucose dehydrogenase
HSDL1	hydroxysteroid dehydrogenase like 1	Inactive hydroxysteroid dehydrogenase-like protein 1
HSF1	heat shock transcription factor 1	Heat shock factor protein 1
HSFX3	heat shock transcription factor family, X-linked member 3	Heat shock transcription factor, X-linked member 3
HSFY1	heat shock transcription factor Y-linked 1	
HSH2D	hematopoietic SH2 domain containing	Hematopoietic SH2 domain-containing protein
HSP90AA1	heat shock protein 90 alpha family class A member 1	Heat shock protein HSP 90-alpha
HSP90AB1	heat shock protein 90 alpha family class B member 1	Heat shock protein HSP 90-beta
HSPA1A	heat shock protein family A (Hsp70) member 1A	Heat shock 70 kDa protein 1A
HSPB1	heat shock protein family B (small) member 1	Heat shock protein beta-1
HSPB7	heat shock protein family B (small) member 7	Heat shock protein beta-7
HSPBP1	HSPA (Hsp70) binding protein 1	Hsp70-binding protein 1
HSPG2	heparan sulfate proteoglycan 2	Basement membrane-specific heparan sulfate proteoglycan core protein
HTN1	histatin 1	Histatin-1
HTR1A	5-hydroxytryptamine receptor 1A	5-hydroxytryptamine receptor 1A
HTR1B	5-hydroxytryptamine receptor 1B	5-hydroxytryptamine receptor 1B
HTR1D	5-hydroxytryptamine receptor 1D	5-hydroxytryptamine receptor 1D
HTR1E	5-hydroxytryptamine receptor 1E	5-hydroxytryptamine receptor 1E
HTR1F	5-hydroxytryptamine receptor 1F	5-hydroxytryptamine receptor 1F
HTR2A	5-hydroxytryptamine receptor 2A	5-hydroxytryptamine receptor 2A
HTR2B	5-hydroxytryptamine receptor 2B	5-hydroxytryptamine receptor 2B
HTR2C	5-hydroxytryptamine receptor 2C	5-hydroxytryptamine receptor 2C
HTR3A	5-hydroxytryptamine receptor 3A	5-hydroxytryptamine receptor 3A
HTR3B	5-hydroxytryptamine receptor 3B	5-hydroxytryptamine receptor 3B
HTR3C	5-hydroxytryptamine receptor 3C	5-hydroxytryptamine receptor 3C
HTR3D	5-hydroxytryptamine receptor 3D	5-hydroxytryptamine receptor 3D
HTR3E	5-hydroxytryptamine receptor 3E	5-hydroxytryptamine receptor 3E
HTR4	5-hydroxytryptamine receptor 4	5-hydroxytryptamine receptor 4
HTR5A	5-hydroxytryptamine receptor 5A	5-hydroxytryptamine receptor 5A
HTR6	5-hydroxytryptamine receptor 6	5-hydroxytryptamine receptor 6
HTR7	5-hydroxytryptamine receptor 7	5-hydroxytryptamine receptor 7
HUS1	HUS1 checkpoint clamp component	Checkpoint protein HUS1
HVCN1	hydrogen voltage gated channel 1	Voltage-gated hydrogen channel 1
HYAL2	hyaluronidase 2	Hyaluronidase-2
HYKK	hydroxylysine kinase	Hydroxylysine kinase
HYOU1	hypoxia up-regulated 1	Hypoxia up-regulated protein 1
IARS1	isoleucyl-tRNA synthetase 1	Isoleucine--tRNA ligase, cytoplasmic
ICA1	islet cell autoantigen 1	Islet cell autoantigen 1
ICA1L	islet cell autoantigen 1 like	Islet cell autoantigen 1-like protein
ICE2	interactor of little elongation complex ELL subunit 2	Little elongation complex subunit 2
IDNK	IDNK gluconokinase	Gluconokinase
IFFO1	intermediate filament family orphan 1	Non-homologous end joining factor IFFO1
IFI16	interferon gamma inducible protein 16	Gamma-interferon-inducible protein 16
IFI27	interferon alpha inducible protein 27	Interferon alpha-inducible protein 27, mitochondrial
IFI30	IFI30 lysosomal thiol reductase	Gamma-interferon-inducible lysosomal thiol reductase
IFI44L	interferon induced protein 44 like	Interferon-induced protein 44-like
IFIT1	interferon induced protein with tetratricopeptide repeats 1	Antiviral innate immune response effector IFIT1
IFIT2	interferon induced protein with tetratricopeptide repeats 2	Interferon-induced protein with tetratricopeptide repeats 2
IFIT3	interferon induced protein with tetratricopeptide repeats 3	Interferon-induced protein with tetratricopeptide repeats 3
IFITM1	interferon induced transmembrane protein 1	Interferon-induced transmembrane protein 1
IFNA13	interferon alpha 13	Interferon alpha-13
IFNA5	interferon alpha 5	Interferon alpha-5
IFNAR1	interferon alpha and beta receptor subunit 1	Interferon alpha/beta receptor 1
IFNAR2	interferon alpha and beta receptor subunit 2	Interferon alpha/beta receptor 2
IFNB1	interferon beta 1	Interferon beta
IFNGR1	interferon gamma receptor 1	Interferon gamma receptor 1
IFNL4	interferon lambda 4 (gene/pseudogene)	Interferon lambda-4
IFRD1	interferon related developmental regulator 1	Interferon-related developmental regulator 1
IFT25	intraflagellar transport 25	Intraflagellar transport protein 25 homolog
IFT27	intraflagellar transport 27	Intraflagellar transport protein 27 homolog
IFT43	intraflagellar transport 43	Intraflagellar transport protein 43 homolog
IFT54	intraflagellar transport 54	Intraflagellar transport protein 54
IFT80	intraflagellar transport 80	Intraflagellar transport protein 80 homolog
IFT88	intraflagellar transport 88	Intraflagellar transport protein 88 homolog
IGBP1C	IGBP1 family member C	Immunoglobulin-binding protein 1 family member C
IGF2BP2	insulin like growth factor 2 mRNA binding protein 2	Insulin-like growth factor 2 mRNA-binding protein 2
IGF2BP3	insulin like growth factor 2 mRNA binding protein 3	Insulin-like growth factor 2 mRNA-binding protein 3
IGFBP1	insulin like growth factor binding protein 1	Insulin-like growth factor-binding protein 1
IGFBP7	insulin like growth factor binding protein 7	Insulin-like growth factor-binding protein 7
IGFL1	IGF like family member 1	Insulin growth factor-like family member 1
IGFL3	IGF like family member 3	Insulin growth factor-like family member 3
IGFN1	immunoglobulin like and fibronectin type III domain containing 1	Immunoglobulin-like and fibronectin type III domain-containing protein 1
IGK	immunoglobulin kappa locus	
IGSF11	immunoglobulin superfamily member 11	Immunoglobulin superfamily member 11
IGSF3	immunoglobulin superfamily member 3	Immunoglobulin superfamily member 3
IGSF9B	immunoglobulin superfamily member 9B	Protein turtle homolog B
IKBKE	inhibitor of nuclear factor kappa B kinase subunit epsilon	Inhibitor of nuclear factor kappa-B kinase subunit epsilon
IL11	interleukin 11	Interleukin-11
IL11RA	interleukin 11 receptor subunit alpha	Interleukin-11 receptor subunit alpha
IL12A	interleukin 12A	Interleukin-12 subunit alpha
IL17A	interleukin 17A	Interleukin-17A
IL17B	interleukin 17B	Interleukin-17B
IL18	interleukin 18	Interleukin-18
IL19	interleukin 19	Interleukin-19
IL1RAPL1	interleukin 1 receptor accessory protein like 1	Interleukin-1 receptor accessory protein-like 1
IL1RAPL2	interleukin 1 receptor accessory protein like 2	X-linked interleukin-1 receptor accessory protein-like 2
IL20	interleukin 20	Interleukin-20
IL22RA2	interleukin 22 receptor subunit alpha 2	Interleukin-22 receptor subunit alpha-2
IL25	interleukin 25	Interleukin-25
IL26	interleukin 26	Interleukin-26
IL27RA	interleukin 27 receptor subunit alpha	Interleukin-27 receptor subunit alpha
IL2RB	interleukin 2 receptor subunit beta	Interleukin-2 receptor subunit beta
IL32	interleukin 32	Interleukin-32
IL33R	interleukin 33 receptor	
IL36G	interleukin 36 gamma	Interleukin-36 gamma
IL36R	interleukin 36 receptor	
IL3RA	interleukin 3 receptor subunit alpha	Interleukin-3 receptor subunit alpha
IL4I1	interleukin 4 induced 1	L-amino-acid oxidase
IL6ST	interleukin 6 cytokine family signal transducer	Interleukin-6 receptor subunit beta
ILK	integrin linked kinase	Scaffold protein ILK
ILKAP	ILK associated serine/threonine phosphatase	Integrin-linked kinase-associated serine/threonine phosphatase 2C
IMMP2L	inner mitochondrial membrane peptidase subunit 2	Mitochondrial inner membrane protease subunit 2
