# cystinuria 用の候補リスト（5000 遺伝子）
# Open Targets (MONDO_0009067) の関連遺伝子 397 件と、
# 承認薬の標的 8 件を必ず含む（重複を除いて 397 件）。
# 残り 4603 件は HGNC approved/protein-coding から seed=0 で無作為に補充。
# 記号はすべて実在し、既知の正解が確実に含まれる。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名（無い遺伝子は空欄）
A2ML1	alpha-2-macroglobulin like 1	Alpha-2-macroglobulin-like protein 1
GSTA4	glutathione S-transferase alpha 4	Glutathione S-transferase A4
GSTM1	glutathione S-transferase mu 1	Glutathione S-transferase Mu 1
GSTM3	glutathione S-transferase mu 3	Glutathione S-transferase Mu 3
GSTO2	glutathione S-transferase omega 2	Glutathione S-transferase omega-2
GSTT1	glutathione S-transferase theta 1	Glutathione S-transferase theta-1
GSTT2	glutathione S-transferase theta 2 (gene/pseudogene)	Glutathione S-transferase theta-2
GSTT2B	glutathione S-transferase theta 2B	Glutathione S-transferase theta-2B
GSTT4	glutathione S-transferase theta 4	Glutathione S-transferase theta-4
GSTZ1	glutathione S-transferase zeta 1	Maleylacetoacetate isomerase
GTF2H2C_2	GTF2H2 family member C, copy 2	
GTF2H4	general transcription factor IIH subunit 4	General transcription factor IIH subunit 4
GTF2H5	general transcription factor IIH subunit 5	General transcription factor IIH subunit 5
GTF2I	general transcription factor IIi	General transcription factor II-I
GTF2IRD1	GTF2I repeat domain containing 1	General transcription factor II-I repeat domain-containing protein 1
GTF3C2	general transcription factor IIIC subunit 2	General transcription factor 3C polypeptide 2
GTF3C5	general transcription factor IIIC subunit 5	General transcription factor 3C polypeptide 5
GTF3C6	general transcription factor IIIC subunit 6	General transcription factor 3C polypeptide 6
GTPBP4	GTP binding protein 4	GTP-binding protein 4
GTSE1	G2 and S-phase expressed 1	G2 and S phase-expressed protein 1
GUCA1B	guanylate cyclase activator 1B	Guanylyl cyclase-activating protein 2
GUCA2B	guanylate cyclase activator 2B	Guanylate cyclase activator 2B [Cleaved into: Guanylate cyclase C-activating peptide 2
GYPB	glycophorin B (MNS blood group)	Glycophorin-B
GYPC	glycophorin C (Gerbich blood group)	Glycophorin-C
GZF1	GDNF inducible zinc finger protein 1	GDNF-inducible zinc finger protein 1
GZMA	granzyme A	Granzyme A
GZMK	granzyme K	Granzyme K
H1-3	H1.3 linker histone, cluster member	Histone H1.3
H1-7	H1.7 linker histone	Testis-specific H1 histone
H2AB1	H2A.B variant histone 1	Histone H2A-Bbd type 1
H2AB2	H2A.B variant histone 2	
H2AC15	H2A clustered histone 15	
H2AC16	H2A clustered histone 16	
H2AC19	H2A clustered histone 19	
H2AC6	H2A clustered histone 6	Histone H2A type 1-C
H2AX	H2A.X variant histone	Histone H2AX
H2AZ1	H2A.Z variant histone 1	Histone H2A.Z
H2BC14	H2B clustered histone 14	Histone H2B type 1-M
H2BW1	H2B.W histone 1	Histone H2B type W-T
H3-3A	H3.3 histone A	
H4C7	H4 clustered histone 7	Histone H4-like protein type G
HACD2	3-hydroxyacyl-CoA dehydratase 2	Very-long-chain
HACD3	3-hydroxyacyl-CoA dehydratase 3	Very-long-chain
HACL2	2-hydroxyacyl-CoA lyase 2	2-hydroxyacyl-CoA lyase 2
HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	Trifunctional enzyme subunit alpha, mitochondrial
HAL	histidine ammonia-lyase	Histidine ammonia-lyase
HAND1	heart and neural crest derivatives expressed 1	Heart- and neural crest derivatives-expressed protein 1
HAP1	huntingtin associated protein 1	Huntingtin-associated protein 1
HAPLN3	hyaluronan and proteoglycan link protein 3	Hyaluronan and proteoglycan link protein 3
HARBI1	harbinger transposase derived 1	Putative nuclease HARBI1
HARS2	histidyl-tRNA synthetase 2, mitochondrial	Histidine--tRNA ligase, mitochondrial
HAS2	hyaluronan synthase 2	Hyaluronan synthase 2
HAUS1	HAUS augmin like complex subunit 1	HAUS augmin-like complex subunit 1
HAUS2	HAUS augmin like complex subunit 2	HAUS augmin-like complex subunit 2
HAVCR1	hepatitis A virus cellular receptor 1	Hepatitis A virus cellular receptor 1
HBA2	hemoglobin subunit alpha 2	
HBB	hemoglobin subunit beta	Hemoglobin subunit beta
HBE1	hemoglobin subunit epsilon 1	Hemoglobin subunit epsilon
HBEGF	heparin binding EGF like growth factor	Proheparin-binding EGF-like growth factor [Cleaved into: Heparin-binding EGF-like growth f
HBG2	hemoglobin subunit gamma 2	Hemoglobin subunit gamma-2
HCLS1	hematopoietic cell-specific Lyn substrate 1	Hematopoietic lineage cell-specific protein
HDGF	heparin binding growth factor	Hepatoma-derived growth factor
HDGFL1	HDGF like 1	Hepatoma-derived growth factor-like protein 1
HDGFL2	HDGF like 2	Hepatoma-derived growth factor-related protein 2
HDGFL3	HDGF like 3	Hepatoma-derived growth factor-related protein 3
HEATR4	HEAT repeat containing 4	HEAT repeat-containing protein 4
HECA	HECA ribonucleoprotein granule regulator	Headcase protein homolog
HELQ	helicase, POLQ like	Helicase POLQ-like
HELZ2	helicase with zinc finger 2	3'-5' exoribonuclease HELZ2
HEMK1	HemK methyltransferase 1, mitochondrial release factors N(5)-glutamine	MTRF1L release factor glutamine methyltransferase
HEMK2	HemK methyltransferase 2, ETF1 glutamine and histone H4 lysine	Methyltransferase HEMK2
HENMT1	HEN methyltransferase 1	Small RNA 2'-O-methyltransferase
HEPACAM	hepatic and glial cell adhesion molecule	Hepatic and glial cell adhesion molecule
HEPACAM2	HEPACAM family member 2	HEPACAM family member 2
HEPH	hephaestin	Hephaestin
HERC3	HECT and RLD domain containing E3 ubiquitin protein ligase 3	Probable E3 ubiquitin-protein ligase HERC3
HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 prot
HERPUD2	HERPUD family member 2	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 prot
HEYL	hes related family bHLH transcription factor with YRPW motif like	Hairy/enhancer-of-split related with YRPW motif-like protein
HGF	hepatocyte growth factor	Hepatocyte growth factor
HGFAC	HGF activator	Hepatocyte growth factor activator serine protease
HGS	hepatocyte growth factor-regulated tyrosine kinase substrate	Hepatocyte growth factor-regulated tyrosine kinase substrate
HHAT	hedgehog acyltransferase	Protein-cysteine N-palmitoyltransferase HHAT
HIBADH	3-hydroxyisobutyrate dehydrogenase	3-hydroxyisobutyrate dehydrogenase, mitochondrial
HIBCH	3-hydroxyisobutyryl-CoA hydrolase	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial
HIC2	HIC ZBTB transcriptional repressor 2	Hypermethylated in cancer 2 protein
HIF3A	hypoxia inducible factor 3 subunit alpha	Hypoxia-inducible factor 3-alpha
HIGD2B	HIG1 hypoxia inducible domain family member 2B	HIG1 domain family member 2B
HIKESHI	heat shock protein nuclear import factor hikeshi	Protein Hikeshi
HINT1	histidine triad nucleotide binding protein 1	Adenosine 5'-monophosphoramidase HINT1
HINT2	histidine triad nucleotide binding protein 2	Adenosine 5'-monophosphoramidase HINT2
HIPK3	homeodomain interacting protein kinase 3	Homeodomain-interacting protein kinase 3
HK3	hexokinase 3	Hexokinase-3
HLA-B	major histocompatibility complex, class I, B	HLA class I histocompatibility antigen, B alpha chain
HLA-C	major histocompatibility complex, class I, C	HLA class I histocompatibility antigen, C alpha chain
HLA-DOB	major histocompatibility complex, class II, DO beta	HLA class II histocompatibility antigen, DO beta chain
HLA-E	major histocompatibility complex, class I, E	HLA class I histocompatibility antigen, alpha chain E
HLA-F	major histocompatibility complex, class I, F	HLA class I histocompatibility antigen, alpha chain F
HM13	histocompatibility minor 13	Signal peptide peptidase
HMGA2	high mobility group AT-hook 2	High mobility group protein HMGI-C
HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase	Hydroxymethylglutaryl-CoA lyase, mitochondrial
HMGXB4	HMG-box containing 4	HMG domain-containing protein 4
HMX1	H6 family homeobox 1	Homeobox protein HMX1
HNF1A	HNF1 homeobox A	Hepatocyte nuclear factor 1-alpha
HNF1B	HNF1 homeobox B	Hepatocyte nuclear factor 1-beta
HNRNPA0	heterogeneous nuclear ribonucleoprotein A0	Heterogeneous nuclear ribonucleoprotein A0
HNRNPA1L2	heterogeneous nuclear ribonucleoprotein A1 like 2	Heterogeneous nuclear ribonucleoprotein A1-like 2
HNRNPA3	heterogeneous nuclear ribonucleoprotein A3	Heterogeneous nuclear ribonucleoprotein A3
HNRNPCL3	heterogeneous nuclear ribonucleoprotein C like 3	Heterogeneous nuclear ribonucleoprotein C-like 3
HNRNPH2	heterogeneous nuclear ribonucleoprotein H2	Heterogeneous nuclear ribonucleoprotein H2
HNRNPL	heterogeneous nuclear ribonucleoprotein L	Heterogeneous nuclear ribonucleoprotein L
HNRNPU	heterogeneous nuclear ribonucleoprotein U	Heterogeneous nuclear ribonucleoprotein U
HOATZ	HOATZ cilia and flagella associated protein	Cilia- and flagella-associated protein HOATZ
HOGA1	4-hydroxy-2-oxoglutarate aldolase 1	4-hydroxy-2-oxoglutarate aldolase, mitochondrial
HOMER2	homer scaffold protein 2	Homer protein homolog 2
HOOK3	hook microtubule tethering protein 3	Protein Hook homolog 3
HORMAD2	HORMA domain containing 2	HORMA domain-containing protein 2
HOXA3	homeobox A3	Homeobox protein Hox-A3
HOXA6	homeobox A6	Homeobox protein Hox-A6
HOXA7	homeobox A7	Homeobox protein Hox-A7
HOXB1	homeobox B1	Homeobox protein Hox-B1
HOXB6	homeobox B6	Homeobox protein Hox-B6
HOXB7	homeobox B7	Homeobox protein Hox-B7
HOXC11	homeobox C11	Homeobox protein Hox-C11
HOXC12	homeobox C12	Homeobox protein Hox-C12
HOXC5	homeobox C5	Homeobox protein Hox-C5
HOXC6	homeobox C6	Homeobox protein Hox-C6
HOXC9	homeobox C9	Homeobox protein Hox-C9
HOXD1	homeobox D1	Homeobox protein Hox-D1
HOXD13	homeobox D13	Homeobox protein Hox-D13
HP	haptoglobin	Haptoglobin
HPCA	hippocalcin	Neuron-specific calcium-binding protein hippocalcin
HPD	4-hydroxyphenylpyruvate dioxygenase	4-hydroxyphenylpyruvate dioxygenase
HPGDS	hematopoietic prostaglandin D synthase	Hematopoietic prostaglandin D synthase
HPR	haptoglobin-related protein	Haptoglobin-related protein
HPS5	HPS5 biogenesis of lysosomal organelles complex 2 subunit 2	BLOC-2 complex member HPS5
HPS6	HPS6 biogenesis of lysosomal organelles complex 2 subunit 3	BLOC-2 complex member HPS6
HPSE2	heparanase 2 (inactive)	Inactive heparanase-2
HPX	hemopexin	Hemopexin
HRH2	histamine receptor H2	Histamine H2 receptor
HRH4	histamine receptor H4	Histamine H4 receptor
HROB	homologous recombination factor with OB-fold	Homologous recombination OB-fold protein
HRURF	HR upstream open reading frame	Protein HRURF
HS3ST3B1	heparan sulfate-glucosamine 3-sulfotransferase 3B1	Heparan sulfate glucosamine 3-O-sulfotransferase 3B1
HSD11B2	hydroxysteroid 11-beta dehydrogenase 2	11-beta-hydroxysteroid dehydrogenase type 2
HSD17B10	hydroxysteroid 17-beta dehydrogenase 10	3-hydroxyacyl-CoA dehydrogenase type-2
HSD17B11	hydroxysteroid 17-beta dehydrogenase 11	Estradiol 17-beta-dehydrogenase 11
HSD17B3	hydroxysteroid 17-beta dehydrogenase 3	17-beta-hydroxysteroid dehydrogenase type 3
HSDL1	hydroxysteroid dehydrogenase like 1	Inactive hydroxysteroid dehydrogenase-like protein 1
HSF2	heat shock transcription factor 2	Heat shock factor protein 2
HSFX2	heat shock transcription factor family, X-linked 2	
HSH2D	hematopoietic SH2 domain containing	Hematopoietic SH2 domain-containing protein
HSP90B1	heat shock protein 90 beta family member 1	Endoplasmin
HSPA1A	heat shock protein family A (Hsp70) member 1A	Heat shock 70 kDa protein 1A
HSPA1B	heat shock protein family A (Hsp70) member 1B	Heat shock 70 kDa protein 1B
HSPA1L	heat shock protein family A (Hsp70) member 1 like	Heat shock 70 kDa protein 1-like
HSPA4	heat shock protein family A (Hsp70) member 4	Heat shock 70 kDa protein 4
HSPA4L	heat shock protein family A (Hsp70) member 4 like	Heat shock 70 kDa protein 4L
HSPA9	heat shock protein family A (Hsp70) member 9	Stress-70 protein, mitochondrial
HSPB1	heat shock protein family B (small) member 1	Heat shock protein beta-1
HSPBAP1	HSPB1 associated protein 1	HSPB1-associated protein 1
HSPH1	heat shock protein family H (Hsp110) member 1	Heat shock protein 105 kDa
HTR2C	5-hydroxytryptamine receptor 2C	5-hydroxytryptamine receptor 2C
HTR3A	5-hydroxytryptamine receptor 3A	5-hydroxytryptamine receptor 3A
HTR3D	5-hydroxytryptamine receptor 3D	5-hydroxytryptamine receptor 3D
HTR5A	5-hydroxytryptamine receptor 5A	5-hydroxytryptamine receptor 5A
HTR7	5-hydroxytryptamine receptor 7	5-hydroxytryptamine receptor 7
HTRA1	HtrA serine peptidase 1	Serine protease HTRA1
HTT	huntingtin	Huntingtin
HUS1	HUS1 checkpoint clamp component	Checkpoint protein HUS1
HUS1B	HUS1 checkpoint clamp component B	Checkpoint protein HUS1B
HVCN1	hydrogen voltage gated channel 1	Voltage-gated hydrogen channel 1
HYAL1	hyaluronidase 1	Hyaluronidase-1
HYDIN	HYDIN axonemal central pair apparatus protein	Axonemal central pair apparatus protein HYDIN
HYLS1	HYLS1 centriolar and ciliogenesis associated	Centriolar and ciliogenesis-associated protein HYLS1
IBA57	iron-sulfur cluster assembly factor IBA57	Iron-sulfur cluster assembly factor IBA57, mitochondrial
ID1	inhibitor of DNA binding 1	DNA-binding protein inhibitor ID-1
IDH2	isocitrate dehydrogenase (NADP(+)) 2	Isocitrate dehydrogenase [NADP], mitochondrial
IDH3G	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma	Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial
IDI2	isopentenyl-diphosphate delta isomerase 2	Isopentenyl-diphosphate delta-isomerase 2
IER3IP1	immediate early response 3 interacting protein 1	Immediate early response 3-interacting protein 1
IER5	immediate early response 5	Immediate early response gene 5 protein
IFFO1	intermediate filament family orphan 1	Non-homologous end joining factor IFFO1
IFI16	interferon gamma inducible protein 16	Gamma-interferon-inducible protein 16
IFIH1	interferon induced with helicase C domain 1	Interferon-induced helicase C domain-containing protein 1
IFITM2	interferon induced transmembrane protein 2	Interferon-induced transmembrane protein 2
IFNA13	interferon alpha 13	Interferon alpha-13
IFNA7	interferon alpha 7	Interferon alpha-7
IFNA8	interferon alpha 8	Interferon alpha-8
IFNB1	interferon beta 1	Interferon beta
IFNGR1	interferon gamma receptor 1	Interferon gamma receptor 1
IFNL1	interferon lambda 1	Interferon lambda-1
IFNL2	interferon lambda 2	Interferon lambda-2
IFNLR1	interferon lambda receptor 1	Interferon lambda receptor 1
IFT122	intraflagellar transport 122	Intraflagellar transport protein 122 homolog
IFT20	intraflagellar transport 20	Intraflagellar transport protein 20 homolog
IFT56	intraflagellar transport 56	Intraflagellar transport protein 56
IFT88	intraflagellar transport 88	Intraflagellar transport protein 88 homolog
IFTAP	intraflagellar transport associated protein	Intraflagellar transport-associated protein
IGBP1	immunoglobulin binding protein 1	Immunoglobulin-binding protein 1
IGDCC4	immunoglobulin superfamily DCC subclass member 4	Immunoglobulin superfamily DCC subclass member 4
IGF2BP3	insulin like growth factor 2 mRNA binding protein 3	Insulin-like growth factor 2 mRNA-binding protein 3
